Cluster,Rank,Code,Description,Micro dept,Qty,Sales
5001 - 10000,7834,190100,KIDS DESIGNER WATCHES,KIDS WATCH,1174,442198
5001 - 10000,7835,780116,IMPORTED GRAPE FRUIT PER KG,GRAPES,983,442168
5001 - 10000,7836,610774,HANAN FOIL 45CMX90M,ALUMINIUM FOIL,224,442168
5001 - 10000,7837,450622,FLORA BUTTERY GULF SPREAD 500G,SALTED BUTTER,731,442134
5001 - 10000,7838,410190,POPCORN 25G,NATURAL POPCORN,22785,442089
5001 - 10000,7839,351016,MALFY CON LEMONE 750ML,GIN,117,441983
5001 - 10000,7840,530731,TROPIKAL 2IN1 DASHBOARD LEM 230ML,CAR AIR FRESHENER,1107,441750
5001 - 10000,7841,413428,GREEN SC/PAD LARGE 4s,SCOURING SPONGES,5124,441724
5001 - 10000,7842,501038,NUVITA MARIE BISCUIT 75GMS,SHORT CAKE,14638,441668
5001 - 10000,7843,412899,D/LAND-F/M-HD-QUILTED-74X48X6,FOAM,65,441613
5001 - 10000,7844,730032,BEEF BRAWN SANDWICH PER PC,SANDWICHES PRE-PACKED,4304,441547
5001 - 10000,7845,567180,TEDDY BEAR 4XL,OTHER UNISEX ITEMS,115,441543
5001 - 10000,7846,643488,PBKL WATER BOTTLE 720ML 7705,WATER BOTTLE,430,441465
5001 - 10000,7847,636201,TOOTHPICK SATCHET 100'S,TOOTHPICKS,14224,441435
5001 - 10000,7848,683983,CHAMP BOTTLE 500 ML,WATER BOTTLE,3764,441296
5001 - 10000,7849,450600,ZESTA PURENATURAL HONEY 500G JAR,NATURAL HONEY,1245,441280
5001 - 10000,7850,572765,VANILLA&ALMOND OIL B/LOTION 400ML,BODY LOTIONS,764,441276
5001 - 10000,7851,681176,BLACKPEPPER GROUND SPICE 90G,POWDER SPICES,1979,441017
5001 - 10000,7852,653147,MEDIA/TV UNIT 1550 A/W/STRM GREY,WALL UNITS AND STANDS,30,440896
5001 - 10000,7853,571280,BLACK MARKET 100ML EDT,PERFUMES,879,440834
5001 - 10000,7854,988918,CASTOR OIL 120ML,BODY OILS,2132,440819
5001 - 10000,7855,610791,FOIL CATERING 45CMX60M,ALUMINIUM FOIL,349,440763
5001 - 10000,7856,500318,NICE BISCUIT 70G,SHORT CAKE,14607,440728
5001 - 10000,7857,565448,TTC MEN TROUSER VIP #V23-37,CHINOS,142,440690
5001 - 10000,7858,620001,ANT/BACTERIAL DOG SHAMPOO 500ML,DOG HYGIENE AND CARE,1099,440547
5001 - 10000,7859,290541,JUMBO REFILL L3R,SWEEPING BROOMS,1503,440534
5001 - 10000,7860,413180,CKR 3+1 F6314SERBG 6060 INOX,3 GAS+1 ELECTRIC COOKERS,11,440470
5001 - 10000,7861,500976,CRISPS MATOKE 400GMS,SPECIAL CRISPS,1049,440399
5001 - 10000,7862,421185,GARLIC POWDER 50G JAR,POWDER SPICES,5676,440379
5001 - 10000,7863,781311,TRIPPLE PACK PKT,TRIPPLE,2212,440188
5001 - 10000,7864,280455,AXION LEMON-LIME 800G/750G,DISHWASHING PASTE,1048,440181
5001 - 10000,7865,980844,CREEKD BL BARREL SHIRAZ 750ML,SHIRAZ,183,440146
5001 - 10000,7866,330180,RASASI BLUE FOR MEN 200ML,PERFUMES,988,440091
5001 - 10000,7867,678408,FRESH WIPES WHITE POLYBAG 10S,POCKET WIPES,5461,440057
5001 - 10000,7868,652271,INSTANT STICK PACK 2G,REGULAR INSTANT COFFEE,1361,439978
5001 - 10000,7869,600827,MASSAGE OIL 200ML,BODY OILS,1466,439800
5001 - 10000,7870,647266,WHTE COFFEE+3IN1 18G STICK,MIXED COFFEE,12754,439794
5001 - 10000,7871,575202,FENG TIAN LI TROLLEY BAG 20 FIBRE,HARD SUITCASE,102,439738
5001 - 10000,7872,412985,DESIGN A4 120PGS S/L,OTHER BOOKS,4287,439718
5001 - 10000,7873,686985,POP PASSION 1PC,HARD SWEETS,25501,439676
5001 - 10000,7874,987303,I/L MEN'S BODY WASH 250ML SPORT,SHOWER GELS FAMILY,1479,439609
5001 - 10000,7875,331287,TWIN LADY P5 .20 EU,DISPOSABLE RAZORS,2143,439264
5001 - 10000,7876,250290,PADLOCK 80MM,STELLAR PADLOCK,502,439250
5001 - 10000,7877,410005,CHOCO CHIP COOKIES 200G,COOKIES,3129,439009
5001 - 10000,7878,653151,MEDIA/TV UNIT 1550 C/STORM GREY,WALL UNITS AND STANDS,30,438862
5001 - 10000,7879,530617,SHIELD SHEEN EXTREM STRWBRY 750ML,HAND TOOLS,359,438853
5001 - 10000,7880,210428,PLATES 11 3 PARTITION 25S,DISPOSABLE PLATES,1197,438556
5001 - 10000,7881,370274,COLA SODA 1.25LTR,CSD,4630,438522
5001 - 10000,7882,408534,CEREVITA FLAKESWTH MILK18x315G,FLAKES,1038,438465
5001 - 10000,7883,413703,DIAPER XXLARGE NO6 7X12 SMALL,BABY DIAPER TAPED,2128,438441
5001 - 10000,7884,647536,BRIDE DOLL,BABY DOLL,747,438358
5001 - 10000,7885,601711,HANDWASH APRICOT 500ML,SOCIAL HANDWASH,3282,438207
5001 - 10000,7886,700045,RICH BREAD 250GMS,WHOLE CAKES,5583,437977
5001 - 10000,7887,556342,FUN BIG CHOCOLATE EGG - BOY 20G,KIDS CHOCO,1243,437765
5001 - 10000,7888,523031,F BHAJIA MIX 250GM,POWDER SPICES,3221,437759
5001 - 10000,7889,686678,FA-HY 04 EARPODS TWS,WIRED EARPHONES,241,437636
5001 - 10000,7890,683989,SPORTS BOTTLE 750 ML,WATER BOTTLE,2089,437609
5001 - 10000,7891,550276,TC BABY CARE EARBUDS 100S,COTTON BUDS,4834,437560
5001 - 10000,7892,982875,COMP EXRCSE BKSC03 100SHT25*19CM,OTHER BOOKS,1894,437353
5001 - 10000,7893,981950,BRIGHT SCHOOL SHOE #S19(31-36),LADIES OFFICIAL SHOES,190,437328
5001 - 10000,7894,550064,HONEY&LEMON 6S,COUGH AND COLD,2499,437325
5001 - 10000,7895,630594,BASIN 200,WATER BASINS,1076,437181
5001 - 10000,7896,525565,ROLL-ON MIN.WMEN EVEN EXT 50M,DEO ROLL-ONS,1550,437163
5001 - 10000,7897,280687,SAFISHA BLEACH COLOUR 500ML,COLOR,2984,437145
5001 - 10000,7898,413236,GIN 750ML,GIN,650,437069
5001 - 10000,7899,780153,PACKED STIR FRY VEGETABLES(250GM),STIR FRY,2927,437067
5001 - 10000,7900,650925,TROPICAL CLASSIC NET 4*6,STAND NET,170,436900
5001 - 10000,7901,651336,SOFT BLANKET HEAVY 5*6,SCHOOL BLANKETS,153,436738
5001 - 10000,7902,413551,STAK JAR 1500ML,KITCHEN STORAGE,1941,436719
5001 - 10000,7903,406244,BLEACH LEMON 2.25 LT,SCENTED,756,436655
5001 - 10000,7904,673209,BALL EYE FINE ROLLER PEN BLCK 1PC,BALL PEN,1684,436608
5001 - 10000,7905,510412,ATTA 2KG,WHOLE MEAL,2813,436569
5001 - 10000,7906,523456,ARIS THE EXP. ONE M EDP100ML,PERFUMES,229,436552
5001 - 10000,7907,536358,WILLIAM LAWSONs SPICED 750ML,WHISKY,262,436518
5001 - 10000,7908,409011,G SOUR BELTS-S/BRRY MRMLADE,CHEWS,3516,435452
5001 - 10000,7909,280309,REGULAR BLEACH 1L/750ML TWIN,REGULAR,851,435431
5001 - 10000,7910,370629,QUENCHER TANGERINE 3L,CORDIALS,1107,435220
5001 - 10000,7911,572264,ALOE VERA GLYCERINE 40ML,BODY OILS,5312,435035
5001 - 10000,7912,675803,ERIS A7 FASHION NOTEBOOK,OTHER NOTEBOOK,1978,434819
5001 - 10000,7913,490253,PASTA STORTELLI 500G,SHORT CUT PASTA,2618,434689
5001 - 10000,7914,530363,PCF TREAD CAR MAT GREY 91055,HAND TOOLS,71,434569
5001 - 10000,7915,540656,DURACELL P/ AA (4+2)AA,AA BATTERIES,509,434405
5001 - 10000,7916,557817,FM&FR EUCALY DUO PK 2*40G,TOILET BLOCK,1156,434395
5001 - 10000,7917,575694,POLYCOTTON FLOWERED BEDSHEET 5X6,FLAT SHEET,295,434369
5001 - 10000,7918,573525,LOTION- COCO BUTTER 200ML,BODY LOTIONS,3131,434121
5001 - 10000,7919,682769,FABRIC SFTNR CONC 500ML LILAC,CONCENTRATE,1942,434050
5001 - 10000,7920,280211,TROPIKAL T/CLNR CITRUS 1LTR+FREE,TOILET CLEANER,917,433994
5001 - 10000,7921,652894,WHITE DUVET SET 4PC 6X6,COMFORTERS,81,433978
5001 - 10000,7922,470356,ALPEN ORIGINAL 375G,BISCUIT CEREAL,846,433940
5001 - 10000,7923,290261,SCRUBBER MINI,SCOURING SPONGES,9152,433931
5001 - 10000,7924,785904,SWEET BANANA P/KG,BANANA,1895,433891
5001 - 10000,7925,401015,FRUITY YOG FRENCH VAN 250G,FRUIT AND FLAVOURED YOGHURT,4922,433463
5001 - 10000,7926,390665,FARAJA PREMIUM TEA TANGAWIZI 500G,BLACK LOOSE,2001,433434
5001 - 10000,7927,390054,OVALTINE MALT CHOCOLATE150G POUCH,CHOCOLATE INSTANT,1005,433190
5001 - 10000,7928,250273,PADLOCK TRICIRCLE 103,CYLINDRICAL,939,433073
5001 - 10000,7929,408949,PLAYING CARDS TYPE B/NO 99,R/C CAR/HELICOP/DRONES/BOATS,2576,433034
5001 - 10000,7930,500424,HOM GINGER CLASSIC 75G,SHORT CAKE,16203,433011
5001 - 10000,7931,684773,BIRYANI RICE 1KG,BIRYANI RICE,2368,432978
5001 - 10000,7932,523016,ADULT CAT FOOD LAMB AND RICE 1KG,CAT FOOD,435,432825
5001 - 10000,7933,580392,BETWEEN FLOSSER,FLOSS AND ACCESSORIES,652,432793
5001 - 10000,7934,682068,RSTED SLTD C/MEL PEANUT100G,PEANUTS,5020,432759
5001 - 10000,7935,653393,DELUXE VAN.CHOC FLAKE 500ML,FAMILY PACK ICE CREAM,1567,432759
5001 - 10000,7936,450659,KITUI HONEY JAR 300G,NATURAL HONEY,1742,432550
5001 - 10000,7937,931132,HAWAI 877-4804,CASUAL SHOES,1812,432500
5001 - 10000,7938,410353,PK MENTHOL,CHEWS,47292,432327
5001 - 10000,7939,420347,GARLIC POWDER JAR 100G,POWDER SPICES,1993,432314
5001 - 10000,7940,280368,KIWI SHOE CREAM BLACK 150ML,SHOE CREAM,3235,432263
5001 - 10000,7941,340484,CHICKEN POPS 200G,CHICKEN POPS,3214,432227
5001 - 10000,7942,250303,TRICYCLE PADLOCK 265,CYLINDRICAL,539,432129
5001 - 10000,7943,545327,DOLL W/4SND&BBY STRLLER WD1881AB,R/C CAR/HELICOP/DRONES/BOATS,251,432056
5001 - 10000,7944,570123,NIVEA Q10 ANTI WRINKLE NIGHT 50ML,MOISTURIZERS&CREAMS,268,431845
5001 - 10000,7945,620081,MOSQUITOE STICK SANDAL,MOSQUITO STICKS,6035,431814
5001 - 10000,7946,506022,CLUB 99 FAMILY ORIGINAL 250g,SHORT CAKE,5104,431634
5001 - 10000,7947,402209,DINNING TABLE 118C,DINING TABLE SET,21,431551
5001 - 10000,7948,555168,WATER BOTTLES 9012 1.3L,WATER BOTTLE,501,431465
5001 - 10000,7949,370260,SODA ORANGE 300ML/350ML,CSD,12509,431356
5001 - 10000,7950,675605,TILE CLEANER ULTRA - 1 LTR,TILE & CERRAZO,667,431250
5001 - 10000,7951,360527,GLADE AUTO REFILL LAV/VAN 269ML,MACHINE & REFILL,592,431241
5001 - 10000,7952,351066,WINDHOEK DRAUGHT 330ML,BOTTLED LAGER,2104,431127
5001 - 10000,7953,440090,TILY COOKING FAT 500G,WHITE FAT,2935,431120
5001 - 10000,7954,679591,ZOMBIE HB 33CL TUMBLER L4700,DRINKING GLASSES,4709,431053
5001 - 10000,7955,480270,SILVERFISH OMENA 200G,FISH FILLET,1852,430880
5001 - 10000,7956,652872,SOUR TROPICAL MIX 75G,SOFT SWEETS,1817,430754
5001 - 10000,7957,686045,INSULATED W/BOTTLE 500ML,TRAVEL FLASKS,543,430655
5001 - 10000,7958,547175,MANGO AND CHILLI CIDER 330ML BOTTL,BOTTLED CIDER,1900,430631
5001 - 10000,7959,677599,JAR 650ML,WATER BOTTLE,2671,430578
5001 - 10000,7960,401448,JELLY IN CRM ULT NOUR C/NUT 302G,BODY JELLIES,884,430569
5001 - 10000,7961,525902,ROLL-ON M A/PRSPT INVSBLE 5,DEO ROLL-ONS,1530,430363
5001 - 10000,7962,780100,PACKED STIR FRY(500GM),STIR FRY,2162,430265
5001 - 10000,7963,632540,TOOTHPICK 115758,TOOTHPICKS,3565,430258
5001 - 10000,7964,610507,HANAN FACIAL BLUE 80SHEETS,FACIAL TISSUES,3814,430232
5001 - 10000,7965,220673,BABY CALENDULA SOAP 100G,BABY TOILETRIES,5803,430222
5001 - 10000,7966,320351,RM319 M/WAVE DIGITAL 20L WHITE,STANDARD MICROWAVE,49,430101
5001 - 10000,7967,686105,GRANOLA BAR PER KG,GRANOLA & MUESLI,256,429941
5001 - 10000,7968,580154,MAX CRYSTAL T/BRUSH MEDI AW21,ELECTRICAL TOOTHBRUSH,4626,429905
5001 - 10000,7969,685016,MATHEMATICAL SET CLEAR,MATHEMATICAL SET,1789,429897
5001 - 10000,7970,680875,HOT & COLD W/DISP. RM/688,COLD AND HOT WATER DISPENSERS,22,429892
5001 - 10000,7971,735756,CHCKN CHNESE RICE 350G+SODA500ML,READY MEALS PRE-PACKED,2022,429857
5001 - 10000,7972,404568,WHOLE TILAPIA PER KG,WHOLE FISH,748,429842
5001 - 10000,7973,525478,SHAZAM MEN TIES #120 ASS.,TIES & BOW TIES,838,429836
5001 - 10000,7974,373213,CLUB SODA MANGO 1.25L,CSD,4514,429802
5001 - 10000,7975,657713,G-BALE,TABLE SALT,747,429525
5001 - 10000,7976,573287,COCONUT GLOW LOTION 400ML,BODY LOTIONS,1063,429491
5001 - 10000,7977,573111,DEO SPRAY-ORIGINAL 150ML,DEO SPRAYS,795,429462
5001 - 10000,7978,580123,AQUAFRESH LITTLE TEETH TOOTHBRUSH,KIDS TOOTHBRUSH,1389,429103
5001 - 10000,7979,679667,HAPPY EGG 6 PACK,6 PACK,3112,429060
5001 - 10000,7980,525794,F CAYENNE PEPPER 50GM (JAR),POWDER SPICES,4976,428966
5001 - 10000,7981,658633,PRINCESS 3IN1 SHEEN SPRAY 85ML,HAIR SPRAYS,2764,428896
5001 - 10000,7982,674257,CHILDREN 595/-,EDUCATIONAL,836,428810
5001 - 10000,7983,677995,FRESH BAG-STRAWBERRY 20g,CAR AIR FRESHENER,1401,428754
5001 - 10000,7984,681137,HOBNOBS OAT CRUNCH 255 GM,DIGESTIVE & OATS,1105,428664
5001 - 10000,7985,406248,ALL PRPSE CLEANER 750ML V.PACK,MULTIPURPOSE CLEANER,1380,428276
5001 - 10000,7986,370492,CERES 100% SECRETS OF VALLEY 1L,TETRA,1103,427888
5001 - 10000,7987,676533,WAY POWER OUTLET EXTENSION,EXTENSION 4 WAY,352,427862
5001 - 10000,7988,421541,FOOD ESSENCE VANILLA 50ML,BAKING INGREDIENTS,5838,427785
5001 - 10000,7989,546455,WHITE HAND TOWEL 40*70,HAND TOWELS,1786,427743
5001 - 10000,7990,680353,MWO SOLO VAMS-21DGK 21L DIG BLK,STANDARD MICROWAVE,44,427655
5001 - 10000,7991,987483,CAMEL 90X150 16S BATH TOWEL,BATH TOWEL,320,427593
5001 - 10000,7992,530732,TROPIKAL 2IN1 DASHBOARD VANILLA23,CAR AIR FRESHENER,1070,427582
5001 - 10000,7993,220249,BABY JELLY 250G,BABY EMOLLIENTS,2681,427573
5001 - 10000,7994,565467,AIR FRESHENER LEMON 360ML,AIR FRESHNER AEROSOLS,2051,427540
5001 - 10000,7995,406735,QUENCHER MANGOCOLADA 1.5LTR,CORDIALS,2020,427450
5001 - 10000,7996,555357,KD GIFT WRAPPERS 3D,GIFTS,9180,427345
5001 - 10000,7997,500335,NUVITA CRUNCHY LEMON 75gms,SHORT CAKE,14162,427302
5001 - 10000,7998,406263,MOISTURIZING CREAM 75G,MOISTURIZERS&CREAMS,640,427237
5001 - 10000,7999,672632,THERMAL ROLLS 57 *40*13,PHOTOCOPY PAPER AND FAXES,8259,427189
5001 - 10000,8000,575443,OFFICIAL SHOES 3,OFFICIAL SHOES,141,427155
5001 - 10000,8001,652654,KOMBUCHA 250ML LIMEADE,HEALTHY CHOICE DRINKS,2914,427052
5001 - 10000,8002,641261,CARINE WHITE SOUP PLATE H3667,PLATES,1271,426910
5001 - 10000,8003,480327,SIRIMON FETA CHEESE 250G,PROCESSED SLICES CHEESE,859,426815
5001 - 10000,8004,678404,ASS SUPER MADRD CRPTS7*10(200*290,RUGS,36,426724
5001 - 10000,8005,407110,PINK PREMIUM GIN 700ML,GIN,280,426698
5001 - 10000,8006,656449,FRESH EGG 30PACK,30 PACK,711,426600
5001 - 10000,8007,574590,FOR MEN FRESH&COOL LOT400/360ML,BODY LOTIONS,1921,426588
5001 - 10000,8008,780409,MOUNTAIN PAWPAW PER KG,PAWPAW,1988,426422
5001 - 10000,8009,572767,SHOWER GEL LEMON&OIL FORWMN 250ML,SHOWER GELS FAMILY,831,426246
5001 - 10000,8010,601204,BLEACH POTPOURI 750ML+250ML,SCENTED,3295,426230
5001 - 10000,8011,500995,CASHEWNUTS 100GMS,CASHEW NUTS,2237,426187
5001 - 10000,8012,650047,M/D QUILT 74*48*6 MATT,FOAM,63,426065
5001 - 10000,8013,413647,SUBWOOFER 2.1 65W + BT RA/103,2.1 CHANNEL SPEAKER,57,426030
5001 - 10000,8014,210477,BIG BOUQUET 487288,BOUQUETS,710,426000
5001 - 10000,8015,684478,VALLEY DELIGHT APPLE 250ML,TETRA,8330,425970
5001 - 10000,8016,620028,MOSQUITO COIL GREEN 10S,MOSQUITO COILS,10978,425871
5001 - 10000,8017,420459,TOMATO GARLIC SAUCE 700G,HOT SAUCES,2759,425742
5001 - 10000,8018,565287,LIME MIXER-(12X500ML),MARMALADE JAMS,6251,425714
5001 - 10000,8019,980884,SANTA MARIA LIGHT SOY SAUCE 150ML,SOY SAUCE,3552,425627
5001 - 10000,8020,556939,ADULT LAMB FLAVOUR - 2KG,DOG FOOD,448,425600
5001 - 10000,8021,421162,CINNAMON GROUND 50G JAR,POWDER SPICES,5036,425455
5001 - 10000,8022,220310,CUSSONS BABY POWDER M&G 200G,BABY EMOLLIENTS,1530,425437
5001 - 10000,8023,321041,FAN HEATER 2 SIDED MH102,ROOM HEATER,205,425409
5001 - 10000,8024,290480,MINI SHOE BRUSH G14,SHOE BRUSH,6246,425374
5001 - 10000,8025,575695,POLYCOTTON FLOWERED BEDSHEET 6*6,FLAT SHEET,269,425160
5001 - 10000,8026,360324,ROSE INCENSE STICK,INCENSE STICKS,8084,425107
5001 - 10000,8027,652896,WHITE DUVET SET 10PC 6X6,COMFORTERS,44,425000
5001 - 10000,8028,646932,RECHARGEABLE SOLAR LAMP HB-V80,RECHARGEABLE NIGHT LAMPS,315,424978
5001 - 10000,8029,671036,DUSTLESS CHALK 12PCS WHITE,OTHER SCHOOL MATERIALS,4694,424888
5001 - 10000,8030,986607,L VANILLA ESSENCE (CLEAR) 50ML,BAKING INGREDIENTS,5798,424854
5001 - 10000,8031,406852,NIVEA SHOWER O&AVO OIL/FLE 500ML,SHOWER GELS FAMILY,597,424715
5001 - 10000,8032,780303,TUMERIC PER KG,TURMERIC,837,424679
5001 - 10000,8033,290506,DUST PAN BRUSH F9P,DUSTING ITEMS,1710,424613
5001 - 10000,8034,681750,MEN SHIRT SERGIO PLAIN S/F AA486,SHIRTS,197,424569
5001 - 10000,8035,570083,NIVEA ESSENTIAL CARE 4.8G,MAKE UP LIPS,1282,424557
5001 - 10000,8036,537103,WHOLE SACHET 50G,UDONGO,19699,424547
5001 - 10000,8037,536545,HD FURNP MATT. 74x42x6,FOAM,67,424526
5001 - 10000,8038,440288,EXTRA VIRGIN OLIVE OIL 250ML,OLIVE OIL EXTRA VIRGIN,354,424494
5001 - 10000,8039,677703,NOBILE - MARZIPAN - 750 ML,BLENDED RED,237,424478
5001 - 10000,8040,760193,NILE PEARCH STEAKS PER KG,FILLET,348,424267
5001 - 10000,8041,480244,FARM COUNTRY HAM 200GMS,PORK,1382,424131
5001 - 10000,8042,510092,HOME BAKING FLOUR 1KG,ALL PURPOSE,5213,424077
5001 - 10000,8043,370826,CERES 100% SEASONS TREASURES 1L,TETRA,1309,423888
5001 - 10000,8044,672511,P NOTEBOOK EXECUTIVE A5 S/H BLADE,A5 NOTEBOOK,855,423815
5001 - 10000,8045,330181,ATTRACTION FORCE SPRAY 150ML,DEO SPRAYS,1206,423781
5001 - 10000,8046,982069,OVAL EDGEDFORK,HOOKS,4509,423690
5001 - 10000,8047,230436,SOFTCARE BABY PANTS M/C MAXI-8,BABY DIAPER PANTS,2158,423683
5001 - 10000,8048,680770,ICE WATERMELON BLISS-3000 PUFFS,E-CIGARETTES,313,423629
5001 - 10000,8049,408732,CONTAINER1000CC(PET)(LID ATTACHED,PLASTIC KITCHEN STORAGE,1156,423534
5001 - 10000,8050,565578,W PROMO 9,GENTS ACCESSORIES,250,423491
5001 - 10000,8051,480090,TASTY CHICKEN MINI BITES 500G,CHICKEN,1070,423388
5001 - 10000,8052,780309,SCOTCH BONNET PEPPERS PER KG,PEPPER,1320,423382
5001 - 10000,8053,370885,APPLE ORANGE FRUTINI FRUIT DRINK,TETRA,7554,423285
5001 - 10000,8054,412934,WATER COLOUR CAKE 12 COLORS 1PC,DIY ACCESSORIES,1327,423267
5001 - 10000,8055,653634,ROSA SPRING MATTRESS 4X6,SPRING,35,423246
5001 - 10000,8056,321708,WATER DISPENSER B/L MWDB2804BS,COLD AND HOT WATER DISPENSERS,17,423202
5001 - 10000,8057,785980,FUJI APPLE PP X 4 PER PACK,APPLE,2176,423105
5001 - 10000,8058,601483,ARIEL MACHINE POWDER 1.5KG,MACHINE WASH POWDER,626,422952
5001 - 10000,8059,630559,HOME FRESH 300ML,PLASTIC KITCHEN STORAGE,9341,422775
5001 - 10000,8060,652653,KOMBUCHA 250MLMAN-GO-WILD,HEALTHY CHOICE DRINKS,2884,422655
5001 - 10000,8061,771059,COCONUT CRUNCH COOKIE PER PC,FRESH COOKIES,8912,422552
5001 - 10000,8062,460638,F7FENNEL SEED,WEIGHED PRODUCTS,271,422463
5001 - 10000,8063,574615,JOJOBA LOTION 200ML,BODY LOTIONS,3275,422138
5001 - 10000,8064,931136,CADILLAC 877-7924,SANDALS,1777,422069
5001 - 10000,8065,340175,CHOCO CHIPS ICECREAM 1LTR,INDIVIDUAL CUPS / POTS,675,421875
5001 - 10000,8066,450235,ZESTA ORANGE MARMALADE 300G,MARMALADE JAMS,2836,421827
5001 - 10000,8067,679146,WINDOW CLEANER OCEAN 530ML,GLASS CLEANER,2894,421587
5001 - 10000,8068,360044,GLADE OCEAN ESCAPE 300ML,AIR FRESHNER AEROSOLS,1351,421578
5001 - 10000,8069,340174,STRAWBERRY RIPPLE ICECREAM 1LTR,YOGHURT ICE CREAM,770,421509
5001 - 10000,8070,671284,COUNTER BOOK 4QUIRE A4,ADHESIVE BOOK COVER ROLL / HARD COVER,1164,421448
5001 - 10000,8071,525773,ORAIMO TYPE C CHARGER WHITE,USB C CHARGING CABLE,589,421440
5001 - 10000,8072,671093,JK PHOTOCOPY PAPER A4,PHOTOCOPY PAPER AND FAXES,459,421409
5001 - 10000,8073,781109,SUGAR CANE JUICE(1LTR),CANE JUICE,1204,421400
5001 - 10000,8074,676442,ACTIVE POWER YGHRT VANILLA 350ML,FRUIT AND FLAVOURED YOGHURT,1703,421320
5001 - 10000,8075,290249,STEELWOOL 750G,STEEL ROLLS,1416,421290
5001 - 10000,8076,565130,ML CHOCOLATE,FRUIT AND FLAVOURED YOGHURT,11363,421215
5001 - 10000,8077,647401,TOY FAMOUS CAR R/C #LZ-27,R/C CAR/HELICOP/DRONES/BOATS,501,421099
5001 - 10000,8078,290214,SCOTCH BRITE PREMIUM 12PACK,SCOURING SPONGES,835,421099
5001 - 10000,8079,620068,BAYGON MULTI INSECT KILLER 180ML,AEROSOLS,896,421061
5001 - 10000,8080,684164,OFFROAD REMOTE CARS,R/C CAR/HELICOP/DRONES/BOATS,134,421060
5001 - 10000,8081,646573,SAF INSTANT YEAST 500G,BAKING INGREDIENTS,1039,420974
5001 - 10000,8082,210547,PAPER CUP 8OZ DARK BROWN,DISPOSABLE CUPS,2209,420852
5001 - 10000,8083,360192,NUMBER CANDLE NO1 PC10,CANDLES,2034,420827
5001 - 10000,8084,350107,FRONTERA SAUVIGNON BLANC 1.5L,SAUVIGNON BLANC,221,420698
5001 - 10000,8085,401445,PERFECT&RADIANT NIGHT CREAM 50ML,MOISTURIZERS&CREAMS,562,420595
5001 - 10000,8086,676520,WAY POWER OUTLET EXTENSION,EXTENSION MORE THAN 4 WAY,173,420569
5001 - 10000,8087,785968,APPLES ASSORTED PP X 4 PER PACK,APPLE,1749,420282
5001 - 10000,8088,681635,PARIS GLYC B/G CRM D/SPF25 50M,MOISTURIZERS&CREAMS,292,420207
5001 - 10000,8089,360531,AIRWICK GEL CAN CITRUS 70G,AIR FRESHNER GELS,2119,420146
5001 - 10000,8090,632295,B FOAM SCOURER KITCHEN CLEANER4PCK,SCOURING SPONGES,1949,420043
5001 - 10000,8091,525382,TOILET BRUSH & BOWL SET B2,TOILET ACCESSORIES,1914,420015
5001 - 10000,8092,500413,HOM CHOCOLATE CREAM BISCUIT 160g,CREAMY,3000,419986
5001 - 10000,8093,983198,KND T SKN RPLNSHNG RCHMST125ML,MOISTURIZERS&CREAMS,416,419900
5001 - 10000,8094,620300,SUNFRESH CHILLI SAUCE 260G,HOT SAUCES,10560,419780
5001 - 10000,8095,770247,SAUSAGE BUNS PER PC,FRESH BUN&ROLLS,6086,419724
5001 - 10000,8096,652160,LATTAFA KHAMRAH EDP 100ML,PERFUMES,111,419641
5001 - 10000,8097,525562,NICE & LOVELY A/V HERB LTN 850M,BODY LOTIONS,847,419579
5001 - 10000,8098,525767,P/BANK ORAIMO OPB-P5101 10MAH-BLK,POWER BANKS,154,419517
5001 - 10000,8099,670036,EXE BOOK SQ/L 200PG A5 SUPERIO,EXERCISE BOOKS,5781,419497
5001 - 10000,8100,290546,FORCE PUMP LARGE FP2,FORCE PUMP,2334,419317
5001 - 10000,8101,360476,FANCY CANDLE T. L/S WHT 3PC,NORMAL CANDLES,1870,419138
5001 - 10000,8102,700177,DANISH COOKIES 200G,COOKIES,4099,419009
5001 - 10000,8103,681165,TURMERIC GROUND SPICE 50G,POWDER SPICES,5371,418862
5001 - 10000,8104,700560,SPONGE CHOCO CTD CAKE VAN33G,SPONGE CAKES,10054,418683
5001 - 10000,8105,574618,HAND&BODY LOT FLORAL FANTASY 400M,BODY LOTIONS,2065,418634
5001 - 10000,8106,210080,NSS THE EAST AFRICAN NEWSPAPER,INTERNATIONAL PRESS,4856,418621
5001 - 10000,8107,561378,MIADI HAIRFOOD 85G,HAIR FOODS,3034,418483
5001 - 10000,8108,672510,P NOTEBOOK EXECUTIVE A5 OML MIEM,A5 NOTEBOOK,844,418362
5001 - 10000,8109,500973,CRISPS MATOKE 50GMS,SPECIAL CRISPS,7352,418304
5001 - 10000,8110,682771,FABRIC SFTNER CONC 1LTR LILAC,CONCENTRATE,971,418164
5001 - 10000,8111,430365,OLD ELPASP TORTILLAS 8 (REG) 326G,BAKING INGREDIENTS,418,418000
5001 - 10000,8112,420596,TOMATO SAUCE 400G,TOMATO SAUCE,5738,417815
5001 - 10000,8113,406700,ROSY H/WSH PINK F/FLWRS 330ML 12s,SOCIAL HANDWASH,4038,417724
5001 - 10000,8114,545707,TOPDOG PUPPY RICE & FISH 2KG,DOG FOOD,605,417450
