Cluster,Rank,Code,Description,Micro dept,Qty,Sales
Rest,34458,575693,CHEF PREMIUM VEGETABLE OIL 5L,VEGETABLE OIL,2,2666
Rest,34459,681726,RELAXO K/SLPPR BLUE BLK AA745,BATH SLIPPER,6,2664
Rest,34460,687340,GOJI SUPER FRUIT JUICE 500ML,SUPPLIMENTS,1,2664
Rest,34461,351079,MICHELLE SAUV. BLANC750ML,SAUVIGNON BLANC,1,2664
Rest,34462,647632,DAYDAYS FLASK 1.0L DG-100,BEVERAGE FLASKS,2,2664
Rest,34463,565782,SHORT TAPE 8M/26' X 25MM,HAND TOOLS,2,2664
Rest,34464,681156,K/LION DELUXE SUFURIA 16,POTS AND PANS,4,2663
Rest,34465,677073,VIRTUE E/WATER ORANGE 250ML,CAN,15,2661
Rest,34466,523499,CONFETTI L/D/SPRAY-PARTY 250ML,DEO SPRAYS,5,2659
Rest,34467,678320,STANDARD SUFURIA LID 35,SUFURIA LIDS,4,2655
Rest,34468,931195,DASSI FANCY TOPS,LADIES SHORT SLEEVE,4,2655
Rest,34469,687965,TROP.CCNUT N/D ICE CREAM 500M,INDIVIDUAL CUPS / POTS,3,2655
Rest,34470,988656,CM METAL HANDLE H DUTY,STANDARD MOPS,10,2655
Rest,34471,260308,FARMATE SPRAYER 15L,SPRAY AND CAN,1,2655
Rest,34472,351996,O SOYS EL CHIVO MERLOT WINE 750ML,MERLOT,2,2655
Rest,34473,680576,A/CBC P/WHTE WT CHCK F/P APRN,APRON,7,2655
Rest,34474,655349,JELLY CRYSTALS YUZU 80GM,BAKING INGREDIENTS,22,2655
Rest,34475,635822,PLASTIC STRAINER MIKKEY,PLASTIC ACCESSORIES,44,2655
Rest,34476,655341,JELLY CRYSTALS T/FRUIT 80GM,BAKING INGREDIENTS,22,2655
Rest,34477,410323,ORANGE 12.5G,CHEWS,88,2655
Rest,34478,570252,RASASI DEO B/S ROYALE WOMEN 200ML,DEO SPRAYS,6,2653
Rest,34479,647686,CLOTH HANGER PACK OF 5 306,BATHROOM ACCESSORIES,5,2651
Rest,34480,400882,YOG MIXED BERRY BTL 250ML,FRUIT AND FLAVOURED YOGHURT,58,2650
Rest,34481,440005,POPCO VEGETABLE OIL 5LTRS,VEGETABLE OIL,2,2650
Rest,34482,500453,NUTRO HAZELNUT 75G,CREAMY,24,2648
Rest,34483,500451,NUTRO CHOCOLATE 75G,CREAMY,24,2648
Rest,34484,525464,LAKI 100ML GREEK YGHRT P/A-CCNUT,FRUIT AND FLAVOURED YOGHURT,31,2646
Rest,34485,652276,TUSK COFFEE KESPRESSO 250G GRND,GROUND,3,2641
Rest,34486,720620,GLENT DOORMAT - 50*80,DOOR MATS,3,2638
Rest,34487,986894,YOUTH PANT ROUDAIMEI 8827,LADIES PANTIES,17,2638
Rest,34488,658469,BOYS BOXER COL 790 - 3360 SZ 4,BOXERS,6,2638
Rest,34489,644478,STONEWARE MUG 325ML PURPLE1122579,MUGS,9,2638
Rest,34490,658472,BOYS BOXER COL 790 - 3360 SZ 7,BOXERS,6,2638
Rest,34491,310493,WE14 COOLDAYLIGHT,B22 LED BULB,13,2634
Rest,34492,678326,STANDARD SUFURIA LID 26,SUFURIA LIDS,5,2629
Rest,34493,567433,LADIES FANCY DRESS #M77B,LADIES DRESS SHORT,1,2629
Rest,34494,607074,ALLWIN S.S SEV S/KIT. P/ WT 15 JA,LADLES,2,2629
Rest,34495,402845,SOCKS 3PACK #G-0033,SOCKS,5,2629
Rest,34496,525393,TENT 093-264,TENTS,1,2625
Rest,34497,687219,FACTS HYDRATING DAY CREAM 50ML,MOISTURIZERS&CREAMS,6,2624
Rest,34498,525187,PASTA NOVA PENNE RIGATE 400G,SHORT CUT PASTA,17,2623
Rest,34499,525184,OBA RIGATONI CLASSIC NO.47 400GM,SHORT CUT PASTA,16,2621
Rest,34500,420115,GROUND GINGER 100GM JAR,POWDER SPICES,16,2621
Rest,34501,685250,KID SOCKS HAPPY (126),KIDS PRINTED SOCKS,19,2621
Rest,34502,987826,RICE COOKER RCM29.A0WH 0.6L,RICE COOKER,1,2621
Rest,34503,555753,DREAM FAIRY DOLL ASST FJC84,BABY DOLL ACCESSORIES,1,2621
Rest,34504,555640,LIQUID GLUE 125ML?97035,LABELS AND POST-IT / STICKY NOTES,29,2621
Rest,34505,850035,CLOVERS TOMATO SAUCE 20GMS,TOMATO SAUCE,882,2618
Rest,34506,675770,BLUE FOOD COLOR -50G,BAKING INGREDIENTS,23,2617
Rest,34507,541125,x80,SHAGS,2,2617
Rest,34508,402902,SOCKS BEAR 3PACK3KK-2242,SOCKS,5,2608
Rest,34509,687952,BEAN ICE CREAM 500ML,INDIVIDUAL CUPS / POTS,3,2608
Rest,34510,555500,FD ROYAL SHIMMER AST B F0882,OTHER SCHOOL MATERIALS,1,2608
Rest,34511,686766,YOUTH PANT LAINDAINA 869,LADIES PANTIES,23,2603
Rest,34512,781338,ASPARAGUS PKT,ASPAGARUS,2,2600
Rest,34513,653447,BIOFREEZE PAIN RELIEF GEL 59ML,PAIN RELIEF,1,2599
Rest,34514,567753,GIRLS BOXERS COL 92 #5611 SZ 5,BOXERS,7,2595
Rest,34515,405780,BIKER COL 3 #5196 SZ 5,KIDS BIKERS,7,2595
Rest,34516,241388,ABACUS 157708,OUTDOOR TOYS,7,2595
Rest,34517,675681,SPOT-X DISINFECTANT 1lt LAVENDER,DISINFECTANT,14,2595
Rest,34518,310456,INST SHOWER SUPER DUCHA4 220V BI,IMMERSION WATER HEATER,1,2595
Rest,34519,656125,BROKEN ACE AFTER SHAVE 100ML,SHAVING CREAM,13,2589
Rest,34520,400990,TINGA TINGA VERY VANILLA 90ML,KIDS JUICE,38,2588
Rest,34521,556570,SIM W/BTTL400 ML WTH KIDSBX 06,WATER BOTTLE,4,2586
Rest,34522,676168,MCDODO LIGHTNING:CA-0550-BK,USB LIGHTNING CHARGING CABLE,4,2586
Rest,34523,523151,MONI ASSORTED LADy DRESS #M1350,LADIES DRESS LONG,3,2586
Rest,34524,681398,SPAGHETTI TOP,KIDS LONG SLEEVE,3,2586
Rest,34525,565741,PCS METALLIC BALLOONS,BALLOONS,3,2586
Rest,34526,574744,PREGNANCY PANT COL 2 #8810 SZ3,LADIES PANTIES,5,2586
Rest,34527,405667,VESTS - COL 99 #4110 SZ 2,KIDS VEST,5,2586
Rest,34528,681584,INCH PLATEBY23BYYP140 WHITE,PLATES,6,2586
Rest,34529,678132,JASON EARRING ASSORTED STYLE 3/S,LADIES ACCESSORIES,6,2586
Rest,34530,658473,BOYS BOXER COL 99 - 3902 SZ 6,BOXERS,5,2586
Rest,34531,546011,BEANS MEDIUM ROAST250GM,BEANS,5,2586
Rest,34532,530968,"GLADIATOR HARD WAX
  200GMS",POLISH,5,2586
Rest,34533,678134,OUSIMIYA EARRINGS STYLE 140/STYL,LADIES ACCESSORIES,6,2586
Rest,34534,249097,PLAYDOUGH 51,OTHER UNISEX ITEMS,6,2586
Rest,34535,982339,MEN SWEATER 3'S# 206/5COL,JACKETS & JUMPERS,5,2586
Rest,34536,682407,NURSING PADS,BABY ACCESSORIES,5,2586
Rest,34537,536686,L STRAWBERRY EMULSION 500ML,BAKING INGREDIENTS,5,2586
Rest,34538,546397,BIG SIZE APRON WITH TOWEL,APRON,5,2586
Rest,34539,557078,PICTURE FRAME 89 4X6,HOME DECORATION,12,2586
Rest,34540,678993,MUG 270M DECO MD270Z (12186),MUGS,8,2586
Rest,34541,674238,LEEH 3D JEWRLY COL PEN JE-10.5B-6,BALL PEN,8,2586
Rest,34542,730066,ESPRESSO(DOUBLE),SNACK PRE-PACK,20,2586
Rest,34543,989262,LADIES SHOES LOLA #H3026-2,LADIES CASUAL SHOES,2,2586
Rest,34544,686389,FAY M & M SLEEVELESS TOP,LADIES LONG SLEEVE,2,2586
Rest,34545,679798,B&B BOYS LIGHTSWEAT PANT,KIDS SPORT PANTS,2,2586
Rest,34546,684506,T/LINER 48H LIQ.PEN BK AS,MAKE UP EYES,2,2586
Rest,34547,680271,SKIRT 2,LADIES SKIRT SHORT,2,2586
Rest,34548,681433,BOYS KHAKI PANTS,LADIES BRA,2,2586
Rest,34549,685168,AIMER GIRLS DRESS J576,DRESS,2,2586
Rest,34550,680909,OFF/PLAIN WHITE SHIRT LARGE-1500,SHIRTS,2,2586
Rest,34551,680375,ICE CUVEE ROSE ESPECIAL750M,SPARKLING ROSE,1,2586
Rest,34552,679714,AIMER HONEY KID 2PC SUIT,SET,2,2586
Rest,34553,680788,LADIES LONG DRESS #M1820,LADIES BRA,1,2586
Rest,34554,680936,OFF/PLAIN BLCK SHIRT LARGE -1500,SHIRTS,2,2586
Rest,34555,676625,YILDIZ SWEATER LADIES SKIRT S,LADIES SKIRT LONG,1,2586
Rest,34556,654409,WI PONCHO ANK 02,LADIES PONCHO,1,2586
Rest,34557,575906,TOWER MEN SLIM FIT TROUSER,SUIT TROUSERS,1,2586
Rest,34558,652501,PU STITCHED MANAGEMENT 2025,OTHER BOOKS,2,2586
Rest,34559,646784,ROSE ROSE STRAWBERRY P/APPLE750ML,DRY ROSE WINE,2,2586
Rest,34560,644595,STEEL CHINA PLATE 9,PLATES,10,2586
Rest,34561,565658,LADIES TOP #M1830-20,LADIES SPORTS TOP,1,2586
Rest,34562,556847,YOUTH FF VELVET F/PANTS NI-677,LADIES JEGGING,2,2586
Rest,34563,557085,WALL MURAL#05 - 40X60,HOME DECORATION,1,2586
Rest,34564,565343,YOUTH FF BELLY BOTTOM TR #0227,SUIT TROUSERS,1,2586
Rest,34565,535403,BOYS SINGLE SOCKS 2-3YRS,KIDS PRINTED SOCKS,20,2586
Rest,34566,525211,SPORTS SOCKS 2,SOCKS,20,2586
Rest,34567,409186,UNISEX SPORT SHOE 36/40,LADIES SPORTS SHOES,1,2586
Rest,34568,408638,BUSHMAN SAUVIGNON BLANC750ML,SAUVIGNON BLANC,1,2586
Rest,34569,211348,9,QUICKMART,1,2586
Rest,34570,292071,SPOTZERO TWIST&SQUEEZE MOP M/L340,SQUEEGEE MOPS,2,2586
